coc_code,coc_name,state_code,total_2010_population,total_pills_2010
va-600,arlington county coc,va,207627,1852200
va-601,fairfax county coc,va,1116623,17989480
va-602,loudoun county coc,va,312311,5322580
va-603,alexandria coc,va,139966,2010220
va-604,prince william county coc,va,454096,9790750
vt-500,vermont balance of state coc,vt,469196,13602190
vt-501,burlington/chittenden county coc,vt,156545,4323908
wa-500,seattle/king county coc,wa,1936456,65464600
wa-501,washington balance of state coc,wa,2136998,91171329
wa-502,spokane city & county coc,wa,471221,26222280
wa-503,"tacoma, lakewood/pierce county coc",wa,790018,32086470
wa-504,everett/snohomish county coc,wa,713335,34279430
wa-507,yakima city & county coc,wa,243231,8892880
wa-508,vancouver/clark county coc,wa,433281,17641640
wi-500,wisconsin balance of state coc,wi,4065682,124134356
wi-501,milwaukee city & county coc,wi,947735,48784095
wi-502,racine city & county coc,wi,195408,8059860
wi-503,madison/dane county coc,wi,488073,16869070
wv-500,"wheeling, weirton area coc",wv,148878,10971700
wv-501,"huntington/cabell, wayne counties coc",wv,138800,11752180
wv-503,"charleston/kanawha, putnam, boone, clay counties coc",wv,282564,20260470
wv-508,west virginia balance of state coc,wv,1282752,83212444
wy-500,wyoming statewide coc,wy,563626,18790020
